,City,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
408,"Phoenix, AZ",United States,67.93,32.05,51.03,62.73,68.76,168.86,2016
409,Phuket,Thailand,48.57,14.09,32.33,52.91,25.38,47.61,2016
410,Pisa,Italy,74.09,23.82,50.42,64.27,83.15,56.04,2016
411,"Pittsburgh, PA",United States,79.94,36.4,59.44,80.09,73.36,161.24,2016
412,"Plano, TX",United States,73.5,39.0,57.25,66.76,62.84,183.54,2016
413,Playa del Carmen,Mexico,34.14,13.14,24.25,31.77,27.04,48.67,2016
414,Plovdiv,Bulgaria,36.18,7.42,22.64,30.48,29.79,48.3,2016
415,Plymouth,United Kingdom,65.83,24.38,46.32,53.53,72.42,133.0,2016
416,Podgorica,Montenegro,40.22,12.56,27.2,30.82,36.28,52.54,2016
417,Port Elizabeth,South Africa,38.69,12.09,26.17,34.19,32.94,79.84,2016
418,"Portland, ME",United States,78.25,38.41,59.49,76.91,87.2,98.56,2016
419,"Portland, OR",United States,81.19,51.25,67.09,82.36,75.97,119.29,2016
420,Porto Alegre,Brazil,49.84,13.36,32.66,38.76,41.31,51.62,2016
421,Porto,Portugal,49.26,16.26,33.72,38.58,40.05,72.67,2016
422,Portsmouth,United Kingdom,71.27,31.47,52.53,56.3,68.27,101.97,2016
423,Poznan,Poland,39.11,13.39,27.0,32.09,33.42,69.07,2016
424,Prague,Czech Republic,43.85,19.47,32.37,36.83,32.96,83.04,2016
425,Pretoria,South Africa,39.47,13.31,27.15,31.66,35.0,126.19,2016
426,"Providence, RI",United States,82.49,36.64,60.9,78.06,85.2,92.38,2016
427,Puerto Vallarta,Mexico,33.24,10.96,22.74,30.52,29.72,211.17,2016
428,Pula,Croatia,52.33,9.22,32.03,44.04,43.26,56.89,2016
429,Pune,India,25.58,7.44,17.04,26.15,17.7,116.27,2016
430,Quebec City,Canada,68.16,19.34,45.17,68.12,61.18,108.46,2016
431,"Queens, NY",United States,83.86,56.16,70.82,82.2,81.7,135.22,2016
432,Queretaro,Mexico,34.81,9.74,23.01,33.68,26.73,84.13,2016
433,Quezon City,Philippines,35.97,8.25,22.92,32.2,20.94,44.25,2016
434,Quito,Ecuador,46.2,15.38,31.69,43.43,34.86,39.61,2016
435,Rabat,Morocco,39.42,12.41,26.7,33.71,26.2,41.95,2016
436,"Raleigh, NC",United States,69.51,34.68,53.11,71.61,67.9,166.71,2016
437,Ramat Gan,Israel,81.18,30.86,57.49,67.72,87.36,91.46,2016
438,Reading,United Kingdom,71.67,40.28,56.89,53.81,82.06,103.0,2016
439,Recife,Brazil,50.25,13.65,33.02,42.1,34.71,41.76,2016
440,Red Deer,Canada,74.37,27.38,52.24,69.18,71.19,99.54,2016
441,Regina,Canada,72.51,29.22,52.13,71.65,71.08,127.65,2016
442,Rennes,France,74.7,20.34,49.1,71.57,68.89,129.21,2016
443,"Reno, NV",United States,60.96,29.86,46.32,52.83,66.35,119.61,2016
444,Reykjavik,Iceland,104.95,47.4,77.85,97.16,111.95,84.48,2016
445,Riga,Latvia,49.57,13.26,32.47,36.19,45.09,56.92,2016
446,Rijeka,Croatia,52.19,11.61,33.08,42.58,41.16,54.98,2016
447,Rio De Janeiro,Brazil,56.26,23.99,41.06,39.84,50.61,46.38,2016
448,"Riverside, CA",United States,72.63,40.47,57.49,70.53,69.42,144.03,2016
449,Riyadh,Saudi Arabia,47.79,16.43,33.02,39.02,32.66,175.47,2016
450,"Rochester, NY",United States,66.85,30.55,49.76,65.71,70.13,127.45,2016
451,Rome,Italy,71.79,38.7,56.21,60.38,77.0,82.5,2016
452,Rotterdam,Netherlands,72.96,27.8,51.7,56.02,86.76,118.51,2016
453,"Sacramento, CA",United States,78.67,38.71,59.85,79.07,73.79,129.0,2016
454,"Saint Louis, MO",United States,72.33,29.32,52.08,73.06,66.14,146.78,2016
455,"Saint Paul, MN",United States,74.19,34.95,55.71,74.37,69.46,107.26,2016
456,"Saint Petersburg, FL",United States,81.79,38.14,61.24,86.31,76.34,152.32,2016
457,Saint Petersburg,Russia,38.06,17.41,28.34,30.16,40.38,53.91,2016
458,"Salem, OR",United States,67.2,30.2,49.78,65.55,66.53,107.07,2016
